ra,dec
131.0637706,14.8372602
131.7169885,14.8421191
134.6789638,14.8859919
130.946099,14.9073919
133.838029,14.9645433
130.1753375,14.9839274
134.3271756,15.0821831
135.9451412,15.0878845
133.368118,15.1609156
129.7587872,15.2584092
134.3628607,15.399444
129.9561722,15.4202076
136.0364522,15.4349422
124.4925984,15.9879159
131.2734657,15.9899642
131.7374294,16.0553155
130.1344144,16.1591838
132.4889642,16.2036359
129.4696791,16.3656952
131.5002914,16.4335416
136.2090845,16.4458014
130.7457554,16.526022
130.0761219,16.6093639
133.8746533,16.7367269
133.1348743,16.809082
133.1341309,16.8102645
132.5292897,16.8610301
131.3535038,16.8957837
129.0675977,17.3815875
129.5546285,17.4224493
135.9347837,17.4516768
133.0646554,17.4889818
132.667423,17.5248832
131.3058198,17.6420751
137.4699335,17.7159404
138.5565355,17.7424557
126.1375509,17.7619577
136.0199607,17.8569949
132.5083559,17.8741708
132.5058754,17.8745407
135.6302992,17.9021238
134.6437718,18.0481127
130.3412169,18.1339264
129.954972,18.1351672
131.0273506,18.5109287
137.4605365,18.8297729
137.0946427,18.8794251
134.2906075,18.9454287
129.7886317,18.9518772
131.648111,19.018583
131.4024049,19.0224447
130.8728991,19.0321833
131.1264326,19.0330138
130.9624675,19.0340576
130.8071744,19.0368972
133.4825629,19.1590573
129.6911414,19.2377968
132.7133566,19.3572704
130.6641653,19.4143598
132.7148652,19.562251
130.1087556,19.6864229
130.0862865,19.6866788
129.6635506,19.6943963
136.0877307,19.7801355
132.7075113,19.8100975
129.977531,19.8219052
129.9249754,20.2958096
127.8743087,20.4103659
136.2196232,20.4151247
135.585245,20.4303139
133.2789525,20.4588868
127.2828904,20.5702432
137.5123668,20.5937973
127.9352953,20.6637007
136.7743166,20.690312
128.1785549,20.8777376
127.8582411,20.9166323
137.317315,21.0025648
137.4853283,21.0715037
134.8894772,21.1694877
133.6160492,21.2872925
137.9316123,21.2909949
127.7771249,21.3980052
133.4259049,21.4505161
133.4538787,21.4911903
128.6412641,21.5530829
136.0528301,21.562908
133.2884088,21.690395
132.7698139,21.7013424
132.7657132,21.7047312
135.9645577,21.7455039
127.6043814,21.7469553
137.1878696,21.7652377
137.2794242,22.2030123
133.3108723,22.2188747
128.7020517,22.3253253
133.4208162,22.344148
128.2791625,22.3581943
136.5483277,23.1235964
134.213013,23.3304435
133.3328045,23.5317481
135.2256611,23.6101958
135.8050393,23.7715847
131.9299153,23.7750461
130.9328783,23.7965421
129.5703396,24.5120206
130.2720943,24.5424323
132.9302232,24.6172215
131.5960511,24.7569414
133.8758538,25.0205528
131.8385066,25.1656263
130.4122681,25.1826645
130.7070546,25.1910877
130.1406047,25.3181929
204.4414384,-11.1922123
200.290373,-9.9491899
202.4855554,-8.7497693
207.3819041,-6.3241731
207.3848549,-6.3227922
286.85181,-27.7923145
18.8306493,3.8385118
16.0826795,6.110996
129.4024617,14.6121276
186.5344168,-9.8902432
349.9867362,-8.9050571
348.0387584,-8.2921344
352.0865075,-5.7778541
140.5973449,14.5366841
139.7384159,15.1904093
140.514907,15.8078269
140.8619176,17.3896491
139.9816627,17.5099047
140.2393372,18.0478072
139.8120865,18.088564
139.4047224,19.1600695
139.1099983,19.423595
140.4054055,20.727007
140.4590282,20.727052
141.1568825,20.8291125
139.6565309,21.3558369
140.7023884,21.6148163
139.5721481,21.6537781
136.2675399,23.7352853
136.6576761,24.2037699
136.196376,24.4027825
136.3026696,24.412541
136.0728142,24.4257827
137.3018782,25.0710794
133.6422031,25.4182681
131.65,19.0138889
130.2001583,19.6859
