ra,dec
297.31598,46.023258
297.00943,50.372318
297.31598,46.023258
297.31598,46.023258
284.68887,46.172249
298.07944,44.746319
292.26291,37.236992
291.14807,40.669399
299.83041,47.157459
299.83041,47.157459
299.83041,47.157459
299.13922,40.94902
285.62854,44.31089
285.39133,46.180939
297.9516,46.264721
297.9516,46.264721
299.89722,43.903912
289.09689,44.004379
292.14447,47.157349
292.14447,47.157349
292.14447,47.157349
282.2001,44.422298
282.2001,44.422298
281.76639,44.292549
283.00296,44.284229
283.00296,44.284229
291.86285,46.42926
287.56967,46.56786
290.06799,46.57914
294.06848,46.57933
298.07944,44.746319
289.09689,44.004379
294.84384,44.077679
297.39319,47.164631
281.05011,47.188148
283.1846,47.15567
286.6301,38.945599
294.06848,46.57933
297.84241,46.574268
297.84241,46.574268
297.84241,46.574268
297.84241,46.574268
297.84241,46.574268
292.26813,37.955639
291.90326,37.90229
298.07944,44.746319
294.4335,38.35545
294.4335,38.35545
297.01483,47.486431
287.65363,47.41481
299.12753,47.59383
286.48227,46.692451
286.97119,46.868359
299.09753,43.497589
288.21194,46.615002
288.21194,46.615002
292.29099,37.580799
291.13849,37.859299
293.25412,37.846191
296.52429,39.24976
293.18454,37.969841
296.98102,43.209751
299.12753,47.59383
299.12753,47.59383
288.86823,47.75943
291.30222,47.697762
289.4317,46.617531
283.86603,46.789589
291.25449,36.74361
291.57916,38.035831
294.11566,38.393478
290.41327,38.34375
291.30222,47.697762
291.06293,47.484798
291.06293,47.484798
296.13141,47.43882
292.21906,44.61916
292.21906,44.61916
292.21906,44.61916
286.41,42.681549
286.41,42.681549
286.41,42.681549
295.3045,42.475288
283.20917,48.777641
283.20917,48.777641
287.85773,48.774109
290.95755,49.203812
292.3515,48.511082
294.21893,49.479221
291.3905,42.180592
291.3905,42.180592
293.75836,41.871868
293.75836,41.871868
291.3909,48.065609
291.3909,48.065609
290.67615,48.294289
290.67615,48.294289
290.67615,48.294289
295.16382,43.963039
287.91635,42.437302
287.91635,42.437302
295.76614,42.424278
295.76614,42.424278
283.03979,48.825359
283.03979,48.825359
283.03979,48.825359
283.20697,48.580502
292.3215,43.881168
292.47821,42.142288
290.67615,48.294289
290.92746,48.44355
290.92746,48.44355
297.11511,41.909142
285.42429,47.83461
295.76614,42.424278
295.76614,42.424278
295.76614,42.424278
286.35806,42.406509
283.20697,48.580502
283.20697,48.580502
283.20697,48.580502
287.05701,49.046021
283.50479,49.451019
288.85529,48.208542
285.66269,48.435371
283.53296,48.094261
284.91049,48.431641
286.35806,42.406509
299.40701,44.035053
288.0676,42.35537
286.88727,42.47126
295.2887,48.59972
295.2887,48.59972
283.98297,49.23299
283.98297,49.23299
294.12143,48.349522
285.2211,47.881378
290.55237,48.126263
297.11511,41.909142
293.46902,42.822411
282.33279,42.463821
283.98297,49.23299
284.84662,49.692402
293.28827,48.811619
290.85178,48.521339
293.08447,48.57539
291.22519,44.92738
294.10818,44.770699
294.10818,44.770699
294.10818,44.770699
293.36285,39.212448
288.32043,42.261414
295.05429,42.75684
294.74207,43.536831
293.35129,43.13464
287.1749,44.878571
294.12143,48.349522
287.1749,44.878571
296.08185,39.161621
296.23511,39.370338
294.98547,42.727669
294.68027,49.14016
286.03635,49.61451
297.3916,48.560692
286.57483,44.7952
286.07523,44.664639
295.37079,39.177212
288.91644,39.594711
292.48694,46.196209
283.9368,49.110329
293.6413,44.65704
294.12143,48.349522
293.6413,44.65704
286.01587,45.007771
288.91644,39.594711
288.91644,39.594711
297.71185,45.261921
295.095,43.537579
289.60382,46.314949
283.25681,45.08778
299.22162,44.693871
285.0361,45.07106
285.0361,45.07106
291.02014,39.22068
296.35867,39.115189
296.35867,39.115189
296.35867,39.115189
296.35867,39.115189
284.20966,45.25808
291.02185,37.769791
287.392,46.059311
287.392,46.059311
286.91711,38.872219
293.59583,39.02948
300.51712,44.38158
284.67728,44.79768
297.11511,41.909142
284.67728,44.79768
284.67728,44.79768
284.67728,44.79768
285.61746,39.379532
292.27612,39.550179
284.58255,39.220211
285.96786,45.739071
295.92609,45.383862
290.47995,45.6007
292.00681,38.820728
295.21664,38.77433
286.58316,39.077202
293.37225,44.785141
293.37225,44.785141
286.96683,44.992489
293.22995,45.05331
297.71185,45.261921
290.47742,39.73201
294.7699,39.39851
294.7699,39.39851
287.05453,45.18037
294.4639,49.765041
283.57422,45.734798
287.45279,45.704399
290.29456,45.56461
286.58316,39.077202
288.1337,38.99688
291.01904,38.54557
287.99789,50.944328
296.00711,44.853474
297.11511,41.909142
284.86014,39.240551
285.24667,45.950191
285.43552,45.976021
291.07468,45.24258
285.34583,45.367779
285.34583,45.367779
285.34583,45.367779
287.30786,39.14473
290.10718,38.702229
290.10718,38.702229
289.02017,48.119808
297.46533,42.882839
297.46533,42.882839
294.21893,49.479221
296.50739,49.457291
287.99789,50.944328
296.83725,48.239944
297.11511,41.909142
294.96606,42.708569
295.8255,42.94339
287.05173,40.211552
286.54001,49.437328
286.54001,49.437328
294.21893,49.479221
293.61371,47.839001
293.61371,47.839001
293.2822,48.2859
291.59409,48.44561
293.14648,47.729649
295.8255,42.94339
295.8255,42.94339
295.8255,42.94339
291.02069,42.46244
286.54001,49.437328
284.25131,48.809608
292.32858,49.653542
296.32199,48.971481
283.20917,48.777641
287.3912,42.194832
287.3912,42.194832
287.3912,42.194832
297.20895,41.781712
293.14648,47.729649
289.08365,48.018131
297.11511,41.909142
296.61487,48.082642
297.79691,39.921371
288.82291,40.38905
290.82602,44.184109
294.27728,46.675282
295.02167,46.619221
293.57776,46.73634
294.16882,46.714611
292.35394,46.22628
288.23666,46.605919
297.77927,46.492741
294.44177,40.55759
294.44177,40.55759
294.44177,40.55759
284.39429,46.249081
294.44177,40.55759
290.05112,46.713371
282.06128,47.085491
282.06128,47.085491
291.40555,40.125488
293.64417,46.989761
294.78915,46.98399
288.25458,43.704868
293.8656,47.026829
294.2413,47.275982
295.45715,50.077171
297.66452,43.248959
296.82291,48.107552
284.78619,48.423229
285.47659,41.632717
290.35803,40.567741
295.32251,39.376492
294.32635,47.217609
283.62885,48.391003
294.95511,44.149818
284.27396,41.535019
285.0571,46.320679
285.0571,46.320679
297.72427,43.527431
297.72427,43.527431
299.22433,40.343182
299.22433,40.343182
299.22433,40.343182
299.22433,40.343182
289.50635,45.370998
296.04736,42.743011
298.5892,40.75069
298.11121,41.758331
293.60126,42.379761
291.26974,42.096039
290.12231,43.08556
287.28531,51.249981
291.0838,40.355251
288.53867,40.61615
288.53867,40.61615
297.58313,41.952431
297.58313,41.952431
298.39575,42.459751
284.87997,49.266991
290.41199,44.89933
291.74838,39.44688
300.9296,44.02879
294.36673,42.252682
293.30023,41.523338
282.36349,46.67524
289.42459,50.994122
295.40253,50.47863
294.52713,43.36816
288.53867,40.61615
288.53867,40.61615
283.12964,43.888241
284.96304,43.91301
290.59207,45.737141
290.98331,45.973301
299.05127,47.94928
282.62967,46.32336
295.41745,43.60564
291.64676,41.884659
288.73407,46.939388
296.84616,40.138611
298.20071,48.267841
298.11478,48.4944
298.46579,48.55941
298.60788,46.453678
298.60788,46.453678
282.96616,48.34507
299.95721,44.771889
283.13547,43.657051
283.13547,43.657051
296.4032,51.271339
294.95685,43.014332
297.91687,46.96513
297.91687,46.96513
297.79514,40.417709
298.29495,48.775459
298.29495,48.775459
284.13263,48.825119
284.13287,49.142609
294.94388,39.032059
294.94388,39.032059
297.3013,43.141891
283.47818,43.383781
289.85913,46.522671
285.2962,46.603439
