ra,dec
284.98886,49.62606
298.76062,48.600182
295.86691,42.062672
297.70712,42.047371
298.09171,41.794128
288.03989,41.818359
298.94815,41.812149
297.116,47.737949
292.08905,47.929642
289.79077,48.448139
298.80545,42.39584
285.41196,48.725231
297.33563,41.89048
281.74261,42.123081
297.88437,41.931252
298.79498,41.759769
298.13525,41.95105
296.14877,47.934872
298.74423,46.83009
294.58929,41.944382
288.72949,42.55088
299.2475,46.951908
291.23883,40.163509
297.12186,46.221909
289.95078,50.657249
298.96255,40.630661
296.4418,46.616711
289.60678,39.938332
295.04639,46.97459
295.18561,46.786709
296.03342,40.019611
299.556,40.456551
298.3949,40.62891
284.73859,47.169628
295.21661,50.084332
297.04651,49.97039
288.25284,51.417332
292.87616,48.195309
295.52521,46.459431
291.23114,50.56702
299.07813,44.293789
296.33319,40.896259
299.14142,40.725899
291.41833,42.579819
288.01486,46.348949
295.26349,46.148022
297.50385,40.342972
296.66086,43.816441
299.60202,43.695995
286.88751,50.377071
296.98853,46.596882
295.6713,40.59906
297.82944,40.706779
297.38153,48.565041
284.64886,41.015018
298.14053,40.073872
289.32101,46.134319
296.99191,40.758911
294.14682,39.12706
298.13391,40.530289
294.73419,40.86142
294.83032,46.734348
283.79654,49.50399
298.73007,46.688671
288.92575,39.90155
293.66507,40.359531
290.73804,39.919651
294.13202,39.981979
287.14313,46.50806
291.28659,43.404411
287.80457,46.23893
291.02301,50.262226
296.04764,43.762138
288.25864,43.376465
296.91724,43.517529
297.17429,43.479099
292.03149,49.388618
290.92316,40.77103
298.82254,46.650269
296.07822,43.13694
288.76318,50.174221
296.62979,46.880203
284.664,43.98502
293.53448,41.329899
298.50726,41.47905
299.10327,40.8493
293.19507,39.90728
298.9024,40.31953
293.87265,46.714951
293.25916,42.126629
297.51907,42.777061
296.43814,46.61536
296.87762,43.941631
290.44736,40.44289
295.32077,40.187359
293.83688,40.41045
288.02271,43.54821
290.61679,49.957619
286.25644,46.89267
296.36569,43.905571
290.56668,40.678162
297.84399,39.989811
282.17941,46.457169
292.07269,50.54829
295.21103,46.757229
289.07703,51.761822
296.4176,46.732021
296.52243,43.363369
295.71225,45.589771
295.02567,46.956001
290.8154,39.819469
296.87683,41.080582
290.16513,51.467258
294.2869,40.21381
296.98605,42.72998
298.83334,46.65453
294.207,38.22345
292.22629,43.995312
299.35651,41.414291
296.05042,42.113239
293.1962,42.370628
296.30573,41.31712
299.6517,40.545681
298.21765,40.341019
291.24683,44.00042
290.12653,41.601082
283.16632,45.403061
290.32867,37.72311
295.849,46.18129
295.03354,46.600151
292.09824,47.940819
296.97107,41.46701
299.84909,47.20256
287.40244,39.190731
290.13821,38.491184
297.01965,49.997379
287.80408,43.168961
295.6402,40.794842
286.94415,42.580631
286.37,37.552521
291.37744,47.21257
285.39404,38.904911
298.80206,44.420349
294.9133,41.074711
295.50107,40.410225
296.25507,42.53022
289.26166,47.815521
282.28439,42.15419
282.14923,43.37859
300.22519,43.758179
293.41794,48.198849
300.77875,45.110222
295.47537,45.239979
285.13831,45.004539
295.24182,40.155209
294.73282,40.150341
294.51746,38.956341
294.1239,48.348999
295.14294,49.993069
285.74298,44.85783
285.74298,44.85783
297.11157,47.534691
294.0318,42.468845
299.41333,40.428478
295.85266,47.503578
295.5582,50.828388
293.67426,45.517239
291.13638,50.575939
282.40594,46.90448
295.06241,49.049278
292.48703,41.311119
297.85938,40.326939
297.04852,46.867981
296.44901,46.623589
290.84714,37.864052
295.96283,50.24025
295.0174,40.728001
294.50977,40.726452
298.77756,44.119942
295.46658,46.012402
288.77112,39.66798
285.57492,49.960892
283.02725,47.249882
297.18564,46.825298
299.07828,46.78616
297.68881,40.643661
290.75183,49.972301
281.05594,43.92374
290.23032,37.777481
288.10608,38.659061
293.24487,45.298279
299.03641,40.583172
291.35867,44.424252
284.79694,45.099091
292.35745,42.389149
291.37408,40.263371
297.40906,39.490292
293.50702,50.450119
296.9679,40.926769
285.18512,49.565369
291.5321,50.681599
293.62442,38.732479
284.14609,40.272331
290.23987,39.564529
290.53607,40.705849
291.20081,38.747849
297.46594,48.089329
289.0787,39.04034
294.53516,46.506149
292.36026,42.398022
283.1788,41.989922
295.26068,40.766392
291.39886,38.228611
292.99469,43.180672
295.06583,46.466389
291.17999,39.10508
284.03293,42.168709
291.28632,49.24308
286.50739,41.922131
287.76083,40.742771
292.84448,47.550419
299.54865,41.241371
295.43375,42.16766
282.0174,44.38578
287.16486,39.376942
292.02341,48.226959
291.85318,45.11092
290.65125,41.234505
290.63651,38.707668
296.1181,50.51659
290.30295,46.79081
295.78381,43.1824
293.96689,42.841888
294.0704,38.181702
287.13828,41.77771
284.28259,46.991638
290.06293,39.922272
289.93927,41.502659
297.78647,45.41748
298.34653,40.13979
288.41684,47.731091
293.6701,46.29567
288.88123,44.959209
297.22394,47.025162
296.96017,47.964771
298.75491,46.941589
289.80298,47.259159
297.58801,40.57798
294.78235,39.596519
289.7934,38.385078
281.55936,42.520489
297.62936,41.637459
286.0499,38.960201
290.63736,48.883133
297.11057,39.703911
291.25308,40.216671
297.38028,39.941071
290.73154,39.920269
295.53534,39.40818
282.01251,46.4282
292.62637,44.02113
295.86008,39.140839
290.2471,38.33939
288.96942,44.359009
294.30652,39.765282
296.54736,39.222542
